Artist Name,Artist Major,Project Title,Project Date,Project Genre,Project Description,Project Link,All Fields Filled,Date Validation,Link Validation,,Base URL,Last Update To Sheet
Gwenan Walker,Animation; Human Biology,Heart and Soul,2023-03-27,Digital (Clip Studio Paint),"This piece ties directly into the Greek Mythology behind Psyche's name, similarly to my previous piece. Upon taking on her immortal form, Psyche became the goddess of the soul, with the butterfly becoming both her winged form and the Greek depiction of the human soul itself. Since the Psyche asteroid is believed to be part of the metal core of an ancient planetesimal, I wanted to depict Psyche receiving her gift of the soul from the Earth goddess Gaia, portraying how knowledge of our own core could help inform Psyche's past.",https://psyche.ssl.berkeley.edu/gallery/heart-and-soul/,,,,,,
Alexa Hugenberg,Creative Technology & Design,Psyche Diamond Painting,2023-03-24,Diamond Painting,"This diamond painting showcases the Psyche asteroid made up of thousands of individual resin rhinestones, all of which represent the people who have worked on the Psyche mission. The shiny finish reflects the high likelihood of the asteroid containing large amounts of metal. The colors reflect the official NASA Psyche Mission's color palette. Each rhinestone was meticulously placed by hand.",https://psyche.ssl.berkeley.edu/gallery/psyche-diamond-painting/,,,,,,
Alana Negrón Díaz,Civil Engineering,A Gift from Beyond,2023-03-22,"Acrylic paint, paint cover, canvas","For this third art piece, I was very inspired to make a scenario where Psyche was gifting us the Psyche Asteroid. Through the journey of this project, we were able to have more insight on the Psyche mission and at times it feels so close yet so far, sort of a hard-to-get gift from beyond. The main idea was to create the goddess Psyche gifting us the asteroid, but throughout the project it seemed like a lot of elements that could come together with the butterfly. In one of the meeting with David Seal we had the opportunity to learn the story about Psyche and knew I wanted to represent her, the goddess of soul, also represented as a butterfly. Here a Blue Morpho butterfly is on top of the asteroid on its way to the hands of the viewer to deliver the gift, which I wanted it to feel like it could be going to anybody. At first I was incorporating a silhouette of an astronaut but I didn't want to define a specific person and that's when I came up with the hands waiting to get the gift. That was the general concept of the painting. 

Now for the execution, I probably changed this canvas around 4 times. I wanted to create a very colorful and mystical setting to present the Psyche asteroid. I used acrylic painting as the medium for project 3. 

This project was very important since I hadn't painted in a while, at such scale. It was a very fun project.",https://psyche.ssl.berkeley.edu/gallery/a-gift-from-beyond/,,,,,,
Cristian Ponce,Biological Engineering,A Matinee on Main (Asteroid Belt),2023-03-20,Photography / Graphic Design,"My first piece for Psyche Inspired attempted to explore Psyche imagined as a pulp-fiction thriller. For Matinee on Main, I wanted to capture the same sense of childhood wonder that surrounds the idea of the mission and travel deep into the solar system to explore an ancient world. I was inspired by the movie posters of the 80s to create this piece, namely Jurassic Park's poster. I came across the main shot of the piece by chance, while experimenting with volumetric lighting and using patterns on my projector to illuminate the face of a friend. Her face represents Psyche's, which is blended into the asteroid, showing Psyche looking out from the asteroid.",https://psyche.ssl.berkeley.edu/gallery/a-matinee-on-main-asteroid-belt/,,,,,,
Alyssa Armstrong,Mechanical Engineering (Minor: Studio Art),Persevere Through Adversity,2023-03-03,Laser Cutting and Digital Art,"The myth of Psyche, the history of the asteroid formation, and the stories of those behind the mission are intertwined into the piece ""Persevere Through Adversity."" The art was digitally drawn in Procreate, separated into vector layers in Adobe Illustrator and then laser cut on MDF. The piece is inspired by Art Noveau artist Alphonse Mucha and stained glass art in cathedrals. 

Each of the 16 panels tells a chapter in the overarching story of perseverance:",https://psyche.ssl.berkeley.edu/gallery/persevere-through-adversity/,,,,,,
Dante Raso,Astronomy & Astrophysics; Painting and Drawing BFA,Art of the Craft,2023-03-01,Digital,"For this project, I wanted to focus more on the scientists, engineers, and programmers who worked hard on the construction of the craft, the science behind the instruments, and calculations of space travel. I chose to work from a photograph of the Psyche craft being constructed, overlayed with my interpretation of the asteroid in the background. I chose to include the color scheme from the Psyche mission itself. I did this piece digitally using Photoshop.",https://psyche.ssl.berkeley.edu/gallery/art-of-the-craft/,,,,,,
Sloane Salitore,Graphic Design,Psyche Digital Magazine,2023-02-27,"Adobe Photoshop, Illustrator, and InDesign","This piece is a short, digital magazine meant to share all about the Psyche mission and its components. An experimental editorial layout hopes to inspire creativity and reflect the adventurous and lively spirit of the team. Images and copies from the Psyche website were manipulated using Adobe Photoshop, Illustrator, and InDesign.",https://psyche.ssl.berkeley.edu/gallery/psyche-digital-magazine/,,,,,,
Kemari Tinsley-Smith,Geology,The Psyche Jazz Project,2023-02-24,Digital Art,"This piece is inspired by jazz club posters that were often seen in the '60s. I was inspired by 60's jazz posters due to the fact that they are very abstract and shapes being imperfect is what makes those pieces unique, just like listening to jazz improv performances imperfect notes and tones is what makes listening to jazz unique! For this piece, I decided to use the digital software, Procreate.",https://psyche.ssl.berkeley.edu/gallery/the-psyche-jazz-project/,,,,,,
Dante Raso,Astronomy & Astrophysics: Painting & Drawing BFA,Impact & Re-Accretion,2023-02-20,Oil paint on canvas,"These two paintings are an abstract interpretation of two leading theories for the formation of the Psyche asteroid. The first painting depicts the high-speed, energetic collision between the differentiated planetesimal and another body, exposing the metallic core that would become the asteroid we know today. The second painting depicts another theory for the formation of Psyche: the re-accretion of mantle and crust layers onto a metallic core after a collision.",https://psyche.ssl.berkeley.edu/gallery/impact-re-accretion/,,,,,,
Cristian Ponce,Biological Engineering,Psyche 2129,2023-02-13,Photography / Graphic Design,"I have always been inspired by travel and the romantic feelings that it inspires. When I was a child, before wanted to be a scientist, I wanted to be a train conductor. Some of my favorite art originates from the depictions of travel by train during the boom in Art Deco style and the artistic romanticizations of flight during the Jet Age. In Psyche 2129, I wanted to imagine what similar art/advertisements might look like during the golden age of space travel. The sparkling drink in a glass cup and the ring attempt to include elements of prosperity in the piece, similar to comparable work of the Jet Age.",https://psyche.ssl.berkeley.edu/gallery/psyche-2129/,,,,,,
Emily Stabilito,Business (Sustainability),The Ethereal Psyche: Goddess and Asteroid,2023-02-10,Cotton fabric,"Fabric quilt of the goddess Psyche in Psyche Mission colors. Mixed patterns denote the mixed-metal nature of the Psyche asteroid, and the goddess's face shape mimics that of the formation itself. Celestial prints mixed with more organic patterns create a sense of grounding and raw naturalness while in space. Inspired by ancient Greek tapestries made by women to depict their gods and other objects of honor and interest.",https://psyche.ssl.berkeley.edu/gallery/the-ethereal-psyche-goddess-and-asteroid/,,,,,,
Mary Helen Lewis,Biology,The Metal World Vintage Poster,2023-02-08,Digital Painting / Procreate,"For this project, I took a lot of inspiration from vintage-style space posters and tried to create one for the Psyche asteroid. I also decided to add a small animation that shows the asteroid partially rotating to show off a few of the features of Psyche. I used procreate to create this artwork and really enjoyed dipping my toes in a little animation as it is something I have never done before. I also really enjoyed using the official colors of the Psyche Project as it challenged me to think creatively and use a color palette that I wouldn't normally have chosen.",https://psyche.ssl.berkeley.edu/gallery/the-metal-world-vintage-poster/,,,,,,
Alana Negrón Díaz,Civil Engineering,Journey to a Metal World,2023-02-06,Procreate/Mental Canvas,"For this art piece, I was inspired by the journey of Psyche across space, from the creation of the asteroid to the mission to study it. In the video, it starts with an assumption for the origin of the Psyche asteroid, which is thought to have originated from violent impacts, giving way to an asteroid with such peculiar aspects. The fact that many years have passed and it's out there holding a history to be discovered makes this mission quite thrilling.

The mediums used for the art piece were Procreate and Mental Canvas. I've used Procreate for a previous project, but Mental Canvas was the medium I focused on for this second project. First, I drew the separate layers in procreate and saved them as PNG images. After using Procreate, I uploaded the layers to Mental Canvas where I was able to create a 2D animation with the 2D images and make them pop within a 3D space to provide an interactive and immersive effect.",https://psyche.ssl.berkeley.edu/gallery/journey-to-a-metal-world/,,,,,,
Maxine Stoenescu,Aerospace Engineering,PsycheBot,2023-02-02,Fine-tip Marker and Gouache Paints,"This piece's intent is to personify the Psyche spacecraft as a cute, palpable robot. The robot is made up of multiple components from the spacecraft, with the head replicating its overall shape. The various colors used to make up the robot signify the various materials of Psyche, and the robot is holding samples of Psyche in each hand as a means of studying it. This piece was also motivated by a biomechanical theme, and is meant to connect man, machine, and space.",https://psyche.ssl.berkeley.edu/gallery/psychebot-2/,,,,,,
Danitza Govea,Graphic Design,A Familiar Sight,2023-01-30,Digital Art / Photobashing made in Photoshop,"A Familiar Sight is a representation of humanity's dedication to the Psyche mission. It shows that through years of hard work, humanity will finally have that leap forward and be able to record data once the Psyche spacecraft reaches the asteroid.

This digital piece was inspired by concept art created by collecting photographs, then cutting and merging them into a composition with a technique called photobashing. Once this step was completed, I edited the colors of the objects and subject, then edited the exposure to match the background. Next, I drew on some of the images to create texture, shadows and highlights to blend into the environment.

By using the asteroid as a source to emit light onto the astronaut and environment, it invites you to explore the surroundings from background to foreground. To conclude the photobashing piece, I added the two black stripes that concept artists often use to showcase their work.",https://psyche.ssl.berkeley.edu/gallery/a-familiar-sight/,,,,,,
Joshua Meyer,Biology & Spanish,Psyche Vision,2023-01-27,Digital Painting / Procreate,"This piece, which I've titled ""Psyche Vision,"" represents the drive and motivation being put into the Psyche mission, and keeping our eyes set on the ultimate goal. To represent this, I drew a human eye, using the color palette of the Psyche mission, and in the eye's reflection the Psyche asteroid and orbiter are visible. I wanted to emphasize the connection between humans and our instinctive curiosity and drive, which is why I placed the asteroid in the position of the eye's pupil. To create this piece, I used the Procreate application, where I drew a rough sketch of my composition. I then blocked out the parts that would be in shadow and the parts the would be in light. I wanted the right side of the image, the side to which the pupil is looking, to be illuminated with light to show how Psyche is a source of inspiration and motivation. I used the appropriate Psyche mission colors for the light and shadow, and finished the piece by adding highlights along various portions of the skin and the eye/asteroid.",https://psyche.ssl.berkeley.edu/gallery/psyche-vision/,,,,,,
Sloane Salitore,Graphic Design,Doctor with a Mission,2023-01-25,Oil Pastel,"""Doctor With a Mission"" is a tribute to Psyche's principal investigator, Dr. Lindy Elkins-Tanton. An homage to Johannes Vermeer's ""Girl With a Pearl Earring"", this piece shows Dr. Lindy with a pearlescent Psyche-16 asteroid, and celebrates all she has done for this mission and more.",https://psyche.ssl.berkeley.edu/gallery/doctor-with-a-mission/,,,,,,
Emily Stabilito,Business (Sustainability),Sippin' on Psyche,2023-01-23,Acrylic paint on ceramic mug,"This is a ceramic mug depicting Psyche asteroid and orbiter in space. Subtle stars represent imagination while two firey columns depict the thrill and nature of discovery. There is an illuminating quality to the world of science and exploration. Against a dark, unknown backdrop, the bright yellow, pink, and orange (Psyche logo) colored columns channel this energy of discovery and illuminate both the asteroid and orbiter in their wake; one product of human innovation, the other of the universe itself.",https://psyche.ssl.berkeley.edu/gallery/sippin-on-psyche/,,,,,,
Alyssa Armstrong & Hope Elliott,Mechanical Engineering & Aerospace Engineering (Astronautics),Launch on the Runway: A Psyche Fashion Line,2023-01-17,Crochet and Digital Painting,"For this project, we created crochet fashion pieces inspired by the Psyche mission. Alyssa also painted ""Inspire the Next Generation"" representing this project's theme to raise excitement about space exploration.",https://psyche.ssl.berkeley.edu/gallery/launch-on-the-runway-a-psyche-fashion-line/,,,,,,
Sunny Collins,Graphic Information Technology (UX),Impact of Psyche in Light,2023-01-13,"Paper, needle, and light captured with photography","I was inspired by the giant impact and following hit-and-run impacts that made Psyche what it is today. The destruction was just the beginning and resembles a galaxy as the mantle is sprayed across space. Light felt like a perfect medium to use since it is how we see space. Additionally, using light heightened the resemblance to a galaxy even more so.

The photos and video were created by taking a 9in x 12in piece of Bristol paper and lightly sketching a circle for Psyche and lines for the remnants coming off of it after impact. Once the sketch was done, I took a needle and poked holes along the lines. The variation in the proximity of the holes represents both the distance and density. Then in a dark room with a strong flashlight I held the piece of paper above a glossy white counter and shined the light through so the dots would show through on the counter below.

Two of the photos show the image of the impact of Psyche in exactly the way I described my process, while the other two show insight into the process. In one photo, you can see the paper with the light coming through, as well as the light being shown through to the counter, The other photo shows the light along with the reflection of the paper in the counter.

The video is meant to give more energy and movement to the concept with light running along the spiral. The dots merging and flowing together as the light runs along the poked dots of the paper. I thought this would be a nice way to illustrate the transfer and creation of energy through the impact of Psyche.",https://psyche.ssl.berkeley.edu/gallery/impact-of-psyche-in-light/,,,,,,
Kemari Tinsley-Smith,Geology,Psyche Now Open!,2023-01-11,Vectors,"Psyche Now Open- This piece is inspired by the neon signs that I have passed by in my hometown Houston,TX. I really loved how vibrant and inviting they are to people passing by. ""Psyche Now Open"" means that learning about the asteroid is available for anyone to learn more about and expand their knowledge on Earth/space sciences!",https://psyche.ssl.berkeley.edu/gallery/psyche-now-open/,,,,,,
Abigail Miller,Architecture,Psyche Illuminated,2023-01-09,"Laser Cut Acrylic, LEDs, Wood","Psyche Illuminated is a culmination of three LED displays (from left to right); 'Vessel', 'Trajectory' and 'Collision'. Together these showcase three components of the Psyche mission; the spacecraft, its four orbits, and the formation of the Psyche asteroid. Each component is laser cut or etched onto an 8×8 sheet of clear acrylic and set into a wooden block containing an LED strip. Each of these LED lamps allow for light to diffuse through the acrylic, illuminating its design. The inspiration behind the design is trying to find new ways to ""shed light"" on the Psyche mission and the fascination behind the journey to a metal world.",https://psyche.ssl.berkeley.edu/gallery/psyche-illuminated/,,,,,,
Alexa Hugenberg,Creative Technology & Design,Psyche Orrery,2023-01-06,3D Printing/Fabrication,"Made entirely of 3D printed material, this model of the solar system, or orrery, showcases Psyche's general position relative to all other planets in our solar system. As demonstrated by this model, the Psyche asteroid orbits the Sun between Mars and Jupiter within the asteroid belt. Also included is a model of the Psyche space craft and its solar panels. The Psyche logo, asteroid and space craft were all painted with acrylic paint after being 3D printed.",https://psyche.ssl.berkeley.edu/gallery/psyche-orrery/,,,,,,
Gwenan Walker,Animation; Human Biology,The Origin of Spaces,2022-12-21,Oil Painting,"This piece was inspired by the classical Renaissance paintings of Greek and Roman gods and goddesses, as well as religious works of the same time period. Taking reference from ancient Greek mythology, Psyche and Eros' love story as the god of love and goddess of the soul have otherworldly implications (even on the ethereal plane), embodying fundamental attributes of humankind and representing a power that even Zeus, the king of the gods, often feared. Their significance in folklore is reflected perfectly in the Psyche asteroid's significance to space exploration, as NASA's expedition may provide insight on the nature of our solar system's formation and all of the planets within it. Psyche's placement at the center of the piece, encircled by the deities of Greek and Roman mythology that embody the different planets of the solar system, is meant to represent that.",https://psyche.ssl.berkeley.edu/gallery/the-origin-of-spaces/,,,,,,
Cristian Ponce,Biological Engineering,Pulp Psyche,2022-12-19,"Graphic Design, Digital Art","This piece was designed with the intent to inspire viewers with a sense of adventure and thrill that they may get from seeing the cover of an old pulp fiction book. The sense of awe that we get from working on scientific projects is not always easily communicable to people without the same background or interests, but there are many aspects of popular culture that connect us. By utilizing a retro sci-fi, adventurous style, ""Pulp Psyche"" seeks to inspire people to learn more about the 16-Psyche and the Psyche mission. Adding to the sci-fi theme, the two sketches in the piece (asteroids and astronaut) were generated by an AI model, DALLE2. The use of AI to generate parts of the art connect the imagination of science fiction to the reality of rapid developments in computing and science.",https://psyche.ssl.berkeley.edu/gallery/pulp-psyche/,,,,,,
Mary Helen Lewis,Biology,The Magician and The World,2022-12-14,Digital art,"For my first project I wanted to make a Tarot Card inspired piece to represent the Psyche Mission. I have always loved the style and meaning being tarot cards and wanted to explore that style of artwork. I made two digital pieces, each representing specific cards. The first card that I chose was The Magician. I thought that this card was very fitting, as it represents that you have all of the skills and talent needed to succeed, as well as a connection between the earth and the universe. I decided to include an astronaut in this artwork, despite the fact that we are not sending people to the Psyche asteroid. The astronaut was added to represent the talented people that are working incredibly hard to make this mission happen and connecting us on Earth to the asteroid. The second card that I chose was The World. I strayed from the original design of the Tarot card and decided to represent Psyche 16 as the world. In a way this card represents new opportunities and worlds opening up to you such as the metal world that we will soon sending our orbiter to.",https://psyche.ssl.berkeley.edu/gallery/the-magician-and-the-world/,,,,,,
Maxine Stoenescu,Aerospace Engineering,Knowledge,2022-12-09,Acrylic Paint,"This piece is meant to represent the knowledge that Psyche possesses. The tubes coming out of Psyche and entering the human figure illustrate humanity acquiring the secrets of Psyche from the mission. Some tubes are left disconnected to further demonstrate how some secrets might linger, even after the mission's completion. Cool colors were used to emphasize ominous and mysterious themes that coincide with space itself. The biomechanical nature of the human figure was inspired by the works of H.R. Giger, and is meant to further solidify the relationship between humanity and space.",https://psyche.ssl.berkeley.edu/gallery/knowledge/,,,,,,
Sloane Salitore,Graphic Design,Multifaceted,2022-12-05,"Adobe Illustrator, Adobe Photoshop, Transparent Film","For this piece I used Adobe Illustrator and Photoshop to create colorful depictions of the Psyche asteroid and spacecraft based off renderings done by Peter Rubin. The poster designs are stacked layers of single-color line art. I highlighted the Psyche name and logo in the negative space, as they are the only places on the poster not completely colored. Inspired by early 1900s offset lithography works, I then printed each color layer one by one on transparent film and stacked all 10 pages on top of eachother. The translucency allows for every layer to be seen and culminate to a final image. The layers also give the impression that the spacecraft in the foreground is traveling towards the asteroid on the horizon. Practically, with this piece I wanted to experiment with my transparent film and a new design style. Allegorically, I wanted to represent the many, many people behind this mission and how all of their work has to come together to achieve success. Any layer seen by itself does not make sense, only when viewed all together does the final image reveal.",https://psyche.ssl.berkeley.edu/gallery/multifaceted/,,,,,,
Kemari Tinsley-Smith,Geology,Greetings From the 16!,2022-12-02,Vector Art,"""Greetings From the 16"" is a retro Psyche postcard. I wanted to incorporate pops of colour in order to draw attention to the postcard. I incorporated the Psyche-coloured stars so that the view can get an 80's arcade floor feel.",https://psyche.ssl.berkeley.edu/gallery/greetings-from-the-16/,,,,,,
Alana Negrón Díaz,Civil Engineering,Astronomy's Rebirth,2022-11-30,Procreate,"The name of this art piece is ""Astronomy's Rebirth"". I've always been fascinated by the numerous elements and natural creations that surrounds us. Astronomy's rebirth is an inspiration of the creation of everything. In this art piece there's a sort of supernova in the shape of a face giving life to planets, the sun, stars, and of course, the Psyche Astroid. The shape of the supernova is a woman's face giving life to the universe. I decided to add the woman element since it's kind of magical how women give life to humans. It's amazing how humans are made from a small cell turning into what we are today. From the creation of life to the creation of the universe, the science behind it, is still a mystery and at times it seems kind of magical. I wanted to incorporate these two things since I believe we are made out of the smallest and simplest of elements, meaning that we are all connected.",https://psyche.ssl.berkeley.edu/gallery/astronomys-rebirth/,,,,,,
Joshua Meyer,Biology & Spanish,A Glimpse of the Metal World,2022-11-28,Digital Painting (Program: Procreate),"This piece showcases the initial excitement and inspiration that I felt when first learning about the Psyche mission, and the imagination that sparked because of it. I wanted to create an illustration of how Psyche might appear and showcase the asteroid's cratered surface through the digital painting medium. I created this piece digitally using the program called Procreate. The process of creating it involved constructing several iterations of an initial sketch, then blocking in the shapes of the light and shadows, adding the color element to it, and finally further rendering anywhere that needed refining.",https://psyche.ssl.berkeley.edu/gallery/a-glimpse-of-the-metal-world/,,,,,,
Abigail Miller,Architecture,The Life Core of Psyche,2022-11-23,Papier Mache,"The Life Core of Psyche explores ideas of early planetary development and how exploration of Psyche can reveal secrets of our home planet. This piece was first inspired by the suspected nickel-iron core of psyche that is thought to be the basis of terrestrial planets, however development of the project over time revealed themes of life on Earth on the role of our planetary core. The Life Core of Psyche is made with a papier mache base, and several layers of paint applied with varying techniques for optimal texture. The next layer is composed of synthetic leaves and flowers to represent how life can metaphorically grow from the craters of an asteroid. Painted stones have been added around the base of the flowers to create dimension.",https://psyche.ssl.berkeley.edu/gallery/the-life-core-of-psyche/,,,,,,
Sunny Collins,Graphic Information Technology (UX),Psyche in Stages,2022-11-21,"Silicone geode coaster molds, Epoxy resin, various resin dyes, metallic foil flakes, holographic foil flakes, electrical wires, nuts, rubber bands, magnetic tape","For my first Psyche Inspired project, I created 4 abstract sculptures representing the various storylines of not only the Psyche mission but the asteroid itself. I really wanted to portray the colorful, expressive, technical, exciting, useful, and hopeful nature of the mission through these four interpretations. At first, my plan was to take a planter saucer, fill it with electrical wire, bolts, nuts, screws, nails, and magnetic tape all being manipulated to look like Psyche. Additionally, I wanted to use materials that represent the satellite being sent to analyze Psyche. I quickly realized that keeping all of those small pieces together would be difficult without some sort of bonding agent. Resin came to mind as a successful way to keep all of the materials together while also being able to still see everything clearly.",https://psyche.ssl.berkeley.edu/gallery/psyche-in-stages/,,,,,,
Danitza Govea,Graphic Design,Journey of Metal,2022-11-18,"Digital Poster, Illustrator",This digital piece was inspired by the multiple orbits of the mission and the orbits of the planets that are closely related to the Psyche mission. By displaying the multiple orbital discs in a monochromatic color scheme I hope to guide the viewer's eye to view the entire piece and gain their curiosity with the implemented QR code.,https://psyche.ssl.berkeley.edu/gallery/journey-of-metal/,,,,,,
Hope Elliott,Aerospace Engineering (Astronautics),Lindy Elkins-Tanton: Psyche,2022-11-16,Graphite and pens on paper,"I created a formal portrait, drawn on paper, of Lindy Elkins-Tanton. Her story and accomplishments are inspiring and monumental. I highlighted her for my first project because her story needs to be heard. Many people would benefit from seeing what she has done and knowing they could do it, too. I have a lot of interest in renaissance portraits and wanted to take elements of that. I wanted Psyche 16 to be placed as a halo would in this style of painting. The placement of the asteroid is referenced to this and the literal meaning of ""psyche"". The simplicity is meant to push people towards the details and Dr. Lindy, herself. This was all created using graphite pencils, pens, and paper.",https://psyche.ssl.berkeley.edu/gallery/lindy-elkins-tanton-psyche/,,,,,,
Dante Raso,Astronomy & Astrophysics; Painting and Drawing BFA,In Our Sights,2022-11-14,Surreal / Oil on Canvas / paintbrushes,"""In Our Sight"" is a surreal oil painting that conveys the human connection to the cosmos, our innate curiosity about it and our own origins, and now, thanks to the Psyche mission, our ability to feed some of that curiosity. This piece is a juxtaposition of the micro (the human iris with its intricate structure) against the macro, (the image of Psyche against the background of the cosmos) as well as a comparison between the beauty that is found both in human biology and outer space. The original concept was much more complex, involving a depiction of the data visualization that would be constructed after the craft completed its orbits and surveys, and more surreal elements involving craft machinery / instrumentation and equations relating to the mission. I opted for something more simple and striking after doing a few sketches.",https://psyche.ssl.berkeley.edu/gallery/in-our-sights/,,,,,,
Alexa Hugenberg,Creative Technology & Design,Psyche Puzzle,2022-11-10,Laser Cut Fabrication,This Psyche puzzle was inspired by the sense of curiosity and the feeling of the unknown. Two-ply acrylic was used to highlight the assumption that the Psyche asteroid is likely rich in metal. Both the puzzle and the box were made by laser-cut manufacturing. Each side box panel has an engraved letter that spells out the word Psyche. The top panel features an engraved depiction of the completed puzzle design.,https://psyche.ssl.berkeley.edu/gallery/psyche-puzzle/,,,,,,
Alyssa Armstrong,Mechanical Engineering (Minor: Studio Art),Soul of Psyche,2022-11-08,Digital Painting,"In ""Soul of Psyche"", the goddess, the asteroid, and the spacecraft meet at the intersection of art and engineering. Through vibrant colors and expressive digital brushstrokes, the spacecraft is propelled by equations to meet the goddess Psyche as she presents her soul, the asteroid. The Greek goddess of the soul could hold the secrets to both her core and ours.

My inspiration began with color and myth. The Psyche badge inspired me to create a character design of the goddess Psyche. Her story is my favorite because it is one of the few Greek myths that does not end in tragedy. I wished to represent the goddess' hope, perseverance and beauty in the design.",https://psyche.ssl.berkeley.edu/gallery/soul-of-psyche/,,,,,,
Garrett Marshall Wolff,Physics,A Traveler's Guide to 16 Psyche,2022-08-03,"Illustrated Book, Procreate, Photoshop","This is a short illustrated book titled A Traveler's Guide to 16 Psyche (downloadable PDF), meant to provoke interest and provide information about the mission. I focused on creating visually appealing illustrations that are more decorative than informative to help make the subject more interesting and lead the audience to read the paragraphs. The illustrations are also meant to provide a layered 3D effect for the associated augmented reality experiences that will be made for each of the pages.",https://psyche.ssl.berkeley.edu/gallery/a-travelers-guide-to-16-psyche-2/,,,,,,
Emily ku,Aerospace Engineering,Resolution,2022-07-05,Digital Animation,"This is the resolution of the story behind the person on the journey to find their soul. They confront the dark parts of themselves, and once they decide to own their journey despite its imperfections, decides to embrace the dark parts of themselves rather than fight it. This is meant to represent how sometimes, in order to find ourselves and look within our souls, we need to confront the darkest parts of ourselves, parts that we may find shameful or disappointing. That is okay and a completely normal part of the process, and only when we embrace ourselves including our imperfections are we able to truly find ourselves and grow. At the end, the person's remembering of their name is meant to symbolize how they have embraced who they are, and the heart they received represents the part of their soul they have found from this journey. In the future, there are many more places to discover, and thus many more parts of themselves to find.",https://psyche.ssl.berkeley.edu/gallery/resolution-2/,,,,,,
Ranger Liu,Astrophysics & Computer Science,Psyche Calendar,2022-06-23,"Graphic Design, Adobe Illustrator","Psyche Calendar (downloadable PDF), is a timekeeping system inspired by asteroids and based around the number 16 instead of 12. There are 16 months to the year, each named for one of the first 16 discovered asteroids. Weeks are 16 days long and are split into two 8-day periods, with weekdays also named after the first 16 discovered asteroids. Psyche Calendar New Year's falls on Pysche's discovery day, Gregorian Calendar March 17. Similarly, the ""current era"" for Psyche Calendar starts with the year of Psyche's discovery, 1852. This epoch is denoted as ""M.P."", which stands for ""metapsyche"", meaning ""after psyche"". Previous years are denoted as ""P.P."", which stands for ""propsyche"", meaning ""before psyche"".",https://psyche.ssl.berkeley.edu/gallery/psyche-calendar-2/,,,,,,
Britney Hill,Biomedical Engineering,Where Art Meets Science,2022-06-21,"Mixed Media: Oil Paint, Digital Art (Photoshop)","Where Art Meets Science: My inspiration for joining Psyche Inspired. Art and science are often seen as opposite fields, however, they often take inspiration from each other. The engineering behind the Psyche Mission can be seen as its own art piece, while famous artists often pulled from science to showcase astronomy and anatomy. This poster features two paintings: one of Psyche, The Goddess, in the style of Pablo Picasso and one of Psyche, The Asteroid, in the style of Vincent van Gogh's Starry Night.",https://psyche.ssl.berkeley.edu/gallery/where-art-meets-science/,,,,,,
Chris Kim,Animation,Cyclical,2022-06-16,Digital,"For this piece, I wanted to try something more abstract with the intent of piquing interest about the mission. The camera starts from the middle as it focuses on the ""core,"" then pulls out to reveal the larger picture. The shape and colors are also taken from the patch.",https://psyche.ssl.berkeley.edu/gallery/cyclical/,,,,,,
Tori Covell,Graphic Design,Mission to Psyche Timeline,2022-06-14,Adobe Illustrator,"I decided to create a timeline of Mission to Psyche. This timeline is found through psyche.asu.edu and the Mission to Psyche mobile app. I have converted this from digital into print media as if this was posted throughout a science museum, where young adults can look through the timeline of the journey of Mission to Psyche. Through this journey, the timeline would talk about how it was first started by proposing the idea and selected by NASA. It would also walk the audience through the process of creating the Psyche spacecraft and the end goal of this mission.",https://psyche.ssl.berkeley.edu/gallery/mission-to-psyche-timeline-2/,,,,,,
Hannah Sweis,Mechanical Engineering,A Map of the Psyche Mission,2022-06-09,Digital art & html/CSS coding,"This map serves as a visual representation for the names and faces of the people around the country and around the world who are involved in the Psyche mission. Rather than reading a list of names, this informational graphic shows where all of the Psyche mission contributors are located to demonstrate how widespread the impact and teamwork of the Psyche mission is, and it puts a face to their names. While the photo graphic shows all of the involvement at once, the coded file provides an interactive element of the project – where hovering over a highlighted region reveals who is involved at each site, as well as their role in the Psyche mission.",https://psyche.ssl.berkeley.edu/gallery/a-map-of-the-psyche-mission-2/,,,,,,
Garrett Marshall Wolff,Physics,How Big is 16 Psyche?,2022-06-06,Infographic/Digital/Illustrator and Photoshop,"This project is meant to give a more vivid idea of how large the (16) Psyche asteroid is in comparison to things people actually have experience with. Although size comparisons on larger scales are useful, it can be difficult to grasp the size of something extremely large when comparing it to something else extremely large. However, we also had to ensure we didn't spread a misconception that the asteroid was going to hit Earth. So, although a view of the asteroid in a perspective from Earth was exciting, it was also terrifying. For this route, we decided to use the view of New York City and Hawaii from space, images that people are familiar with and can potentially relate to real-life experiences of seeing them from planes. The mass and density of the asteroid were also helpful in providing a more physical connection. Finally, adding in a portion that shows how we know the size of Psyche was included to help it feel more real and concrete.",https://psyche.ssl.berkeley.edu/gallery/how-big-is-16-psyche/,,,,,,
Mary Pyrdol,Graphic Design,The Mind and Soul,2022-06-01,Printmaking/Woodcut/Ink/Masa,"Considering the name of the asteroid, ""Psyche"" defines a number of significant things. The goddess from Greek mythology, the human experience, and the tangible, metal-rich asteroid. For my final project, I aimed to explore the combination of these concepts into a piece titled ""The Mind and Soul"". Pictured in the print design is the silhouette of a human figure, and at the center of the skull is an imprint of the asteroid Psyche. Placing the asteroid in the location of the brain pictorially captures my interpretation of our fascination with the cosmos. In terms of the 'mind and soul' concept of this piece, the asteroid essentially becomes the mind, and our desire to explore it is the soul of the mission.",https://psyche.ssl.berkeley.edu/gallery/the-mind-and-soul/,,,,,,
